district_code,district_name_nfhs4,district_name_nfhs5,status,district_code_nfhs5
420,bhind,bhind,stable,420
421,gwalior,gwalior,stable,421
422,datia,datia,stable,422
423,shivpuri,shivpuri,stable,423
424,tikamgarh,tikamgarh,stable,424
425,chhatarpur,chhatarpur,stable,425
426,panna,panna,stable,426
427,sagar,sagar,stable,427
428,damoh,damoh,stable,428
429,satna,satna,stable,429
430,rewa,rewa,stable,430
431,umaria,umaria,stable,431
432,neemuch,neemuch,stable,432
433,mandsaur,mandsaur,stable,433
434,ratlam,ratlam,stable,434
435,ujjain,ujjain,stable,435
437,dewas,dewas,stable,437
438,dhar,dhar,stable,438
439,indore,indore,stable,439
440,khargone (west nimar),khargone (west nimar),stable,440
441,barwani,barwani,stable,441
442,rajgarh,rajgarh,stable,442
443,vidisha,vidisha,stable,443
444,bhopal,bhopal,stable,444
445,sehore,sehore,stable,445
446,raisen,raisen,stable,446
447,betul,betul,stable,447
448,harda,harda,stable,448
449,hoshangabad,hoshangabad,stable,449
450,katni,katni,stable,450
451,jabalpur,jabalpur,stable,451
452,narsimhapur,narsimhapur,stable,452
453,dindori,dindori,stable,453
454,mandla,mandla,stable,454
455,chhindwara,chhindwara,stable,455
456,seoni,seoni,stable,456
457,balaghat,balaghat,stable,457
458,guna,guna,stable,458
459,ashoknagar,ashoknagar,stable,459
460,shahdol,shahdol,stable,460
461,anuppur,anuppur,stable,461
