round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,district_uid
NFHS-1,8,himachal pradesh,2,Kangra,Kangra,2,1991,100.0,fuzzy,himachal pradesh_2
NFHS-1,8,himachal pradesh,2,Kangra,Kangra,2,1991,100.0,fuzzy,himachal pradesh_2
NFHS-1,8,himachal pradesh,3,Hamirpur,Hamirpur,3,1991,100.0,fuzzy,himachal pradesh_3
NFHS-1,8,himachal pradesh,3,Hamirpur,Hamirpur,3,1991,100.0,fuzzy,himachal pradesh_3
NFHS-1,8,himachal pradesh,4,Una,Una,4,1991,100.0,fuzzy,himachal pradesh_4
NFHS-1,8,himachal pradesh,4,Una,Una,4,1991,100.0,fuzzy,himachal pradesh_4
NFHS-1,8,himachal pradesh,6,Mandi,Mandi,6,1991,100.0,fuzzy,himachal pradesh_6
NFHS-1,8,himachal pradesh,6,Mandi,Mandi,6,1991,100.0,fuzzy,himachal pradesh_6
NFHS-1,8,himachal pradesh,10,Solan,Solan,10,1991,100.0,fuzzy,himachal pradesh_10
NFHS-1,8,himachal pradesh,10,Solan,Solan,10,1991,100.0,fuzzy,himachal pradesh_10
NFHS-1,8,himachal pradesh,11,Sirmaur,Sirmaur,11,1991,100.0,fuzzy,himachal pradesh_11
NFHS-1,8,himachal pradesh,11,Sirmaur,Sirmaur,11,1991,100.0,fuzzy,himachal pradesh_11
NFHS-1,8,himachal pradesh,5,Bilaspur,Bilaspur,5,1991,100.0,fuzzy,himachal pradesh_5
NFHS-1,8,himachal pradesh,5,Bilaspur,Bilaspur,5,1991,100.0,fuzzy,himachal pradesh_5
NFHS-1,8,himachal pradesh,9,Shimla,Shimla,9,1991,100.0,fuzzy,himachal pradesh_9
NFHS-1,8,himachal pradesh,9,Shimla,Shimla,9,1991,100.0,fuzzy,himachal pradesh_9
NFHS-1,8,himachal pradesh,7,Kullu,Kullu,7,1991,100.0,fuzzy,himachal pradesh_7
NFHS-1,8,himachal pradesh,7,Kullu,Kullu,7,1991,100.0,fuzzy,himachal pradesh_7
NFHS-1,9,jammu & kashmir,12,Jammmu,Jammu,12,1981,90.9090909090909,fuzzy,jammu & kashmir_12
NFHS-1,9,jammu & kashmir,12,Jammmu,Jammu,12,1981,90.9090909090909,fuzzy,jammu & kashmir_12
NFHS-1,9,jammu & kashmir,11,Kathua,Kuthua,11,1981,100.0,manual_override,jammu & kashmir_11
NFHS-1,9,jammu & kashmir,11,Kathua,Kuthua,11,1981,100.0,manual_override,jammu & kashmir_11
NFHS-1,9,jammu & kashmir,10,Udhampur,Udhampur,10,1981,100.0,fuzzy,jammu & kashmir_10
NFHS-1,9,jammu & kashmir,10,Udhampur,Udhampur,10,1981,100.0,fuzzy,jammu & kashmir_10
NFHS-1,9,jammu & kashmir,13,Rajauri,Rajauri,13,1981,100.0,fuzzy,jammu & kashmir_13
NFHS-1,9,jammu & kashmir,13,Rajauri,Rajauri,13,1981,100.0,fuzzy,jammu & kashmir_13
NFHS-1,9,jammu & kashmir,14,Punch,Punch,14,1981,100.0,fuzzy,jammu & kashmir_14
NFHS-1,9,jammu & kashmir,14,Punch,Punch,14,1981,100.0,fuzzy,jammu & kashmir_14
NFHS-1,9,jammu & kashmir,9,Doda,Doda,9,1981,100.0,fuzzy,jammu & kashmir_9
NFHS-1,9,jammu & kashmir,9,Doda,Doda,9,1981,100.0,fuzzy,jammu & kashmir_9
NFHS-1,10,karnataka,4,BELLARY,Bellary,4,1991,100.0,fuzzy,karnataka_4
NFHS-1,10,karnataka,4,BELLARY,Bellary,4,1991,100.0,fuzzy,karnataka_4
NFHS-1,10,karnataka,5,BIDAR,Bidar,5,1991,100.0,fuzzy,karnataka_5
NFHS-1,10,karnataka,5,BIDAR,Bidar,5,1991,100.0,fuzzy,karnataka_5
NFHS-1,10,karnataka,10,DHARWAD,Dharwad,10,1991,100.0,fuzzy,karnataka_10
NFHS-1,10,karnataka,10,DHARWAD,Dharwad,10,1991,100.0,fuzzy,karnataka_10
NFHS-1,10,karnataka,16,MYSORE,Mysore,16,1991,100.0,fuzzy,karnataka_16
NFHS-1,10,karnataka,16,MYSORE,Mysore,16,1991,100.0,fuzzy,karnataka_16
NFHS-1,10,karnataka,2,BANGALORE RURAL,Bangalore Rural,2,1991,100.0,fuzzy,karnataka_2
NFHS-1,10,karnataka,2,BANGALORE RURAL,Bangalore Rural,2,1991,100.0,fuzzy,karnataka_2
NFHS-1,10,karnataka,9,DAKSHIN KANNAD,Dakshin Kannad,9,1991,100.0,fuzzy,karnataka_9
NFHS-1,10,karnataka,9,DAKSHIN KANNAD,Dakshin Kannad,9,1991,100.0,fuzzy,karnataka_9
NFHS-1,10,karnataka,8,CHITRADURGA,Chitradurga,8,1991,100.0,fuzzy,karnataka_8
NFHS-1,10,karnataka,8,CHITRADURGA,Chitradurga,8,1991,100.0,fuzzy,karnataka_8
NFHS-1,10,karnataka,12,HASSAN,Hassan,12,1991,100.0,fuzzy,karnataka_12
NFHS-1,10,karnataka,12,HASSAN,Hassan,12,1991,100.0,fuzzy,karnataka_12
NFHS-1,10,karnataka,19,TUMKUR,Tumkur,19,1991,100.0,fuzzy,karnataka_19
NFHS-1,10,karnataka,19,TUMKUR,Tumkur,19,1991,100.0,fuzzy,karnataka_19
NFHS-1,10,karnataka,6,BIJAPUR,Bijapur,6,1991,100.0,fuzzy,karnataka_6
NFHS-1,10,karnataka,6,BIJAPUR,Bijapur,6,1991,100.0,fuzzy,karnataka_6
NFHS-1,10,karnataka,17,RAICHUR,Raichur,17,1991,100.0,fuzzy,karnataka_17
NFHS-1,10,karnataka,17,RAICHUR,Raichur,17,1991,100.0,fuzzy,karnataka_17
NFHS-1,10,karnataka,1,BANGALORE,Bangalore,1,1991,100.0,fuzzy,karnataka_1
NFHS-1,10,karnataka,1,BANGALORE,Bangalore,1,1991,100.0,fuzzy,karnataka_1
